genus,kingdom,phylum,subphylum,infraphylum,superclass,class,subclass,order,family,subfamily,tribe,fgroup1,fgroup2,fgroup3,calcifying
Cumagloia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Nemaliophycidae,Nemaliales,Liagoraceae,,,sheet,coarsely branched,filamentous,
Curdiea,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gracilariales,Gracilariaceae,,,thick leathery,coarsely branched,,
Cystoclonium,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Cystocloniaceae,,,filamentous,coarsely branched,,
Dasya,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Dasyaceae,Dasyoideae,,filamentous,,,
Delesseria,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Delesseriaceae,Delesserioideae,Delesserieae,sheet,coarsely branched,,
Delisea,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Bonnemaisoniales,Bonnemaisoniaceae,,,filamentous,,,
Devaleraea,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Nemaliophycidae,Palmariales,Palmariaceae,,,sheet,thick leathery,,
Dichotomaria,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Nemaliophycidae,Nemaliales,Galaxauraceae,,,,,,yes
Dictyomenia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,Pterosiphonieae,sheet,coarsely branched,,
Digenea,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,,filamentous,,,
Dilsea,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Dumontiaceae,,,sheet,thick leathery,,
Dumontia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Dumontiaceae,,,coarsely branched,sheet,,
Echinothamnion,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,Polysiphonieae,filamentous,,,
Endocladia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Endocladiaceae,,,filamentous,coarsely branched,,
Euptilota,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Callithamniaceae,,Callithamnieae,filamentous,coarsely branched,,
Euthora,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Kallymeniaceae,,,filamentous,coarsely branched,,
Fryeella,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Rhodymeniales,Fryeellaceae,,,sheet,,,
Furcellaria,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Furcellariaceae,,,thick leathery,,,
Galaxaura,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Nemaliophycidae,Nemaliales,Galaxauraceae,,,jointed calcareous,,,yes
Gastroclonium,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Rhodymeniales,Champiaceae,,,coarsely branched,thick leathery,,
Gelidiopsis,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Rhodymeniales,Lomentariaceae,,,filamentous,,,
Gelidium,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gelidiales,Gelidiaceae,,,coarsely branched,filamentous,,
Georgiella,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Wrangeliaceae,,Ptiloteae,filamentous,coarsely branched,,
Gibsmithia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Dumontiaceae,,,,,,
Gigartina,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Gigartinaceae,,,coarsely branched,,,
Gloiocladia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Rhodymeniales,Faucheaceae,,,,,,
Gloiopeltis,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Endocladiaceae,,,coarsely branched,thick leathery,,
Gloiosaccion,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Rhodymeniales,Rhodymeniaceae,,,sheet,,,
Gloiosiphonia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Gloiosiphoniaceae,,,filamentous,,,
Gracilaria,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gracilariales,Gracilariaceae,,,coarsely branched,filamentous,,
Gracilariopsis,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gracilariales,Gracilariaceae,,,coarsely branched,thick leathery,,
Grateloupia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Halymeniales,Halymeniaceae,,,thick leathery,,,
Gymnogongrus,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Phyllophoraceae,,,thick leathery,coarsely branched,,
Halicnide,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Delesseriaceae,Phycodryoideae,Phycodryeae,sheet,,,
Haliptilon,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Corallinophycidae,Corallinales,Corallinaceae,Corallinoideae,Janieae,jointed calcareous,,,yes
Halopeltis,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Rhodymeniales,Rhodymeniaceae,,,thick leathery,,,
