genus,kingdom,phylum,subphylum,infraphylum,superclass,class,subclass,order,family,subfamily,tribe,fgroup1,fgroup2,fgroup3,calcifying
Symphyocladia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,,filamentous,,,
Thamnoclonium,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Halymeniales,Halymeniaceae,,,,,,
Trematocarpus,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Plocamiales,Sarcodiaceae,,,coarsely branched,thick leathery,,
Tricleocarpa,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Nemaliophycidae,Nemaliales,Galaxauraceae,,,jointed calcareous,,,yes
Tylotus,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Dicranemataceae,,,thick leathery,,,
Vertebrata,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,Polysiphonieae,filamentous,,,
Weeksia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Gigartinales,Dumontiaceae,,,sheet,,,
Wrangelia,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Wrangeliaceae,,Wrangelieae,filamentous,,,
Wrightiella,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,,filamentous,,,
Yamadaella,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Nemaliophycidae,Nemaliales,Liagoraceae,,,jointed calcareous,,,yes
Yuzurua,Plantae,Rhodophyta,Eurhodophytina,,,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,,Laurencieae,,,,
