truetaxa,del13c,del13c_se,n,min,max,del13c_sd,del13c_var,genus,species,altname,altgenus,altspecies,division,author
Callophycus oppositifolius,-34.23,,1,-34.23,-34.23,,,Callophycus,oppositifolius,,,,Rhodophyta,
Callophyllis calliblephrioides,-16.71,,1,-16.71,-16.71,,,Callophyllis,calliblephrioides,Callophyllus calliblephrioides,Callophyllus,calliblephrioides,Rhodophyta,
Callophyllis cervicornis,-33.13,,1,-33.13,-33.13,,,Callophyllis,cervicornis,,,,Rhodophyta,
Callophyllis cristata,-33.61,,1,-33.61,-33.61,,,Callophyllis,cristata,Callophyllus cristata,Callophyllus,cristata,Rhodophyta,
Callophyllis depressa,-31.7666666667,0.4096068576,3,-32.4,-31,0.7094598885,0.5033333333,Callophyllis,depressa,,,,Rhodophyta,
Callophyllis laciniata,-34.514,0.5369878956,5,-36,-32.86,1.2007414376,1.44178,Callophyllis,laciniata,Callophyllus laciniata,Callophyllus,laciniata,Rhodophyta,
Callophyllis lambertii,-33.64,0.39,2,-34.03,-33.25,0.5515432893,0.3042,Callophyllis,lambertii,,,,Rhodophyta,
Callophyllis rangiferina,-33.795,0.175,2,-33.97,-33.62,0.2474873734,0.06125,Callophyllis,rangiferina,,,,Rhodophyta,
Catenella caespitosa,-29.51,,1,-29.51,-29.51,,,Catenella,caespitosa,,,,Rhodophyta,
Ceramium rubrum,-18.0566666667,1.1627257248,6,-21.68,-13.09,2.8480847366,8.1115866667,Ceramium,rubrum,,,,Rhodophyta,
Ceramium shuttleworthianum,-19.195,0.065,2,-19.26,-19.13,0.0919238816,0.00845,Ceramium,shuttleworthianum,,,,Rhodophyta,
Champia compressa,-18.9,0.2,1,-18.9,-18.9,,,Champia,compressa,,,,Rhodophyta,Diaz-Pulido_etal_2016
Chondracanthus acicularis,-19.89,,1,-19.89,-19.89,,,Chondracanthus,acicularis,,,,Rhodophyta,
Chondracanthus tenellus,-18.8,,1,-18.8,-18.8,,,Chondracanthus,tenellus,,,,Rhodophyta,
Chondria dasyphylla,-16.11,,1,-16.11,-16.11,,,Chondria,dasyphylla,,,,Rhodophyta,
Chondria incrassata,-20.74,,1,-20.74,-20.74,,,Chondria,incrassata,,,,Rhodophyta,
Chondrus crispus,-19.8345454545,0.9140622255,11,-24.11,-14.2,3.031601437,9.1906072727,Chondrus,crispus,,,,Rhodophyta,
Chondrus ocellatus,-18.6,,1,-18.6,-18.6,,,Chondrus,ocellatus,,,,Rhodophyta,
Chylocladia verticillata,-10.22,,1,-10.22,-10.22,,,Chylocladia,verticillata,,,,Rhodophyta,
Corallina elongata,-22.04,0.8405950273,5,-23.6,-19.7,1.8796276227,3.533,Corallina,elongata,,,,Rhodophyta,
Corallina frondescens,-20.46275,,1,-20.46,-20.46,,,Corallina,frondescens,,,,Rhodophyta,
Corallina officinalis,-13.847,1.3693372687,10,-23.03,-9.61,4.3302246542,18.7508455556,Corallina,officinalis,Corallina chilensis,Corallina,chilensis,Rhodophyta,
Corallina pinatifolia,-7.45,,1,-7.45,-7.45,,,Corallina,pinatifolia,,,,Rhodophyta,
Corallina vancouveriensis,-5.69,,1,-5.69,-5.69,,,Corallina,vancouveriensis,,,,Rhodophyta,
Craspedocarpus venosus,-35.045,0.375,2,-35.42,-34.67,0.5303300859,0.28125,Craspedocarpus,venosus,,,,Rhodophyta,
Cryptopleura ramosa,-32.93,1.29,2,-34.22,-31.64,1.8243354955,3.3282,Cryptopleura,ramosa,,,,Rhodophyta,
Cryptopleura ruprechtiana,-33.4933333333,,1,-33.49,-33.49,,,Cryptopleura,ruprechtiana,,,,Rhodophyta,
Cumagloia andersonii,-16.2325,,1,-16.23,-16.23,,,Cumagloia,andersonii,,,,Rhodophyta,
Curdiea angustata,-32.8775,0.8501311173,4,-34.67,-30.57,1.7002622347,2.8908916667,Curdiea,angustata,,,,Rhodophyta,
Curdiea racovitzae,-15.99,,1,-15.99,-15.99,,,Curdiea,racovitzae,,,,Rhodophyta,
Cystoclonium purpureum,-13.88,,1,-13.88,-13.88,,,Cystoclonium,purpureum,,,,Rhodophyta,
Dasya corymbifera,-34.29,,1,-34.29,-34.29,,,Dasya,corymbifera,,,,Rhodophyta,
Dasya iridescens,-15.55,0.0325,2,,,,,Dasya,iridescens,,,,Rhodophyta,Diaz-Pulido_etal_2016
Delesseria sanguinea,-33.505,0.320454262,14,-35.4,-31.51,1.1990300567,1.4376730769,Delesseria,sanguinea,,,,Rhodophyta,
Delesseria serrulata,-34.8,,1,-34.8,-34.8,,,Delesseria,serrulata,,,,Rhodophyta,
Delisea hypneoides,-32.92,,1,-32.92,-32.92,,,Delisea,hypneoides,,,,Rhodophyta,
Delisea plumosa,-33.335,1.165,2,-34.5,-32.17,1.6475588002,2.71445,Delisea,plumosa,,,,Rhodophyta,
Delisea pulchra,-33.325,0.705,2,-34.03,-32.62,0.9970205615,0.99405,Delisea,pulchra,,,,Rhodophyta,
Dichotomaria marginata,-18.2,,1,-18.2,-18.2,,,Dichotomaria,marginata,,,,Rhodophyta,
Dictyomenia sonderi,-17.255,0.185,2,-17.44,-17.07,0.261629509,0.06845,Dictyomenia,sonderi,,,,Rhodophyta,
Digenea simplex,-18,,1,-18,-18,,,Digenea,simplex,Digenia simplex,Digenia,simplex,Rhodophyta,
Dilsea carnosa,-19.6975,2.0242586091,4,-22.9,-14.33,4.0485172183,16.3904916667,Dilsea,carnosa,,,,Rhodophyta,
Dilsea pygmaea,-16.846,,1,-16.85,-16.85,,,Dilsea,pygmaea,,,,Rhodophyta,
Dumontia contorta,-14.402,1.3370953594,5,-19.1,-11.03,2.9898361159,8.93912,Dumontia,contorta,,,,Rhodophyta,
Echinothamnion australis,-21.2,,1,-21.2,-21.2,,,Echinothamnion,australis,,,,Rhodophyta,
Echinothamnion lyallii,-22.32,,1,-22.32,-22.32,,,Echinothamnion,lyallii,,,,Rhodophyta,
Endocladia muricata,-18.4306,,1,-18.43,-18.43,,,Endocladia,muricata,,,,Rhodophyta,
Euptilota articulata,-31.96,0.48,2,-32.44,-31.48,0.6788225099,0.4608,Euptilota,articulata,,,,Rhodophyta,
Euptilota formosissima,-33.12,,1,-33.12,-33.12,,,Euptilota,formosissima,,,,Rhodophyta,
Furcellaria lumbricalis,-20.985,3.885,2,-24.87,-17.1,5.4942196898,30.18645,Furcellaria,lumbricalis,,,,Rhodophyta,
Galaxaura marginata,-12.925,3.275,2,-16.2,-9.65,4.6315494168,21.45125,Galaxaura,marginata,,,,Rhodophyta,
Galaxaura rugosa,-17.45,0.005,2,,,,,Galaxaura,rugosa,,,,Rhodophyta,Diaz-Pulido_etal_2016
Gelidium amansii,-16.8,,1,-16.8,-16.8,,,Gelidium,amansii,,,,Rhodophyta,
Gelidium australe,-24.52,,1,-24.52,-24.52,,,Gelidium,australe,,,,Rhodophyta,
Gelidium latiflium,-15.86,,1,-15.86,-15.86,,,Gelidium,latiflium,,,,Rhodophyta,
Gelidium pristoides,-12.7532467532,,1,-12.75,-12.75,,,Gelidium,pristoides,,,,Rhodophyta,
Gelidium spinosum,-17.3,,1,-17.3,-17.3,,,Gelidium,spinosum,,,,Rhodophyta,
Georgiella confluens,-32.3766666667,1.4634472241,3,-35.3,-30.79,2.5347649464,6.4250333333,Georgiella,confluens,,,,Rhodophyta,
Gibsmithia hawaiiensis,-28.5,0,1,-28.5,-28.5,,,Gibsmithia,hawaiiensis,,,,Rhodophyta,Diaz-Pulido_etal_2016
Gigartina acicularis,-17.6775,1.2604256887,4,-19.9,-14.51,2.5208513773,6.3546916667,Gigartina,acicularis,,,,Rhodophyta,
Gigartina circumcincta,-21.68,,1,-21.68,-21.68,,,Gigartina,circumcincta,,,,Rhodophyta,
Gigartina clavifera,-13.535,0.975,2,-14.51,-12.56,1.3788582233,1.90125,Gigartina,clavifera,,,,Rhodophyta,
Gigartina dilitata,-19.1,,1,-19.1,-19.1,,,Gigartina,dilitata,,,,Rhodophyta,
Gigartina livida,-15.955,0.225,2,-16.18,-15.73,0.3181980515,0.10125,Gigartina,livida,,,,Rhodophyta,
Gigartina marginifera,-16.15,,1,-16.15,-16.15,,,Gigartina,marginifera,,,,Rhodophyta,
