truetaxa,del13c,del13c_se,n,min,max,del13c_sd,del13c_var,genus,species,altname,altgenus,altspecies,division,author
Hypnea pannosa,-17.6,0.1888888889,3,,,,,Hypnea,pannosa,,,,Rhodophyta,Diaz-Pulido_etal_2016
Hypoglossum hypoglossoides,-33.35,,1,-33.35,-33.35,,,Hypoglossum,hypoglossoides,,,,Rhodophyta,
Hypoglossum simulans,-18.5,0,1,-18.5,-18.5,,,Hypoglossum,simulans,,,,Rhodophyta,Diaz-Pulido_etal_2016
Iridaea cordata,-17.0016666667,0.6490013696,6,-19.6,-14.72,1.589722198,2.5272166667,Iridaea,cordata,,,,Rhodophyta,
Jania micrarthandia,-22.55,,1,-22.55,-22.55,,,Jania,micrarthandia,Jania micrarthrodia,Jania,micrarthrodia,Rhodophyta,
Jania rosea,-20.4333333333,4.2399737945,3,-24.96,-11.96,7.3438500348,53.9321333333,Jania,rosea,Haliptilon roseum,Haliptilon,roseum,Rhodophyta,
Jania rubens,-18.13,5.56,2,-23.69,-12.57,7.8630274068,61.8272,Jania,rubens,,,,Rhodophyta,
Jania sagittatum,-18.37,,1,-18.37,-18.37,,,Jania,sagittatum,Cheilosporum sagittatum,Cheilosporum,sagittatum,Rhodophyta,
Jeannerettia lobata,-33.95,,1,-33.95,-33.95,,,Jeannerettia,lobata,,,,Rhodophyta,
Kallymenia antarctica,-18.295,2.785,2,-21.08,-15.51,3.9385847712,15.51245,Kallymenia,antarctica,,,,Rhodophyta,
Laurencia botryoides,-13.34,0.02,2,-13.36,-13.32,0.0282842712,0.0008,Laurencia,botryoides,,,,Rhodophyta,
Laurencia hybrida,-14.06,0.51,2,-14.57,-13.55,0.7212489168,0.5202,Laurencia,hybrida,,,,Rhodophyta,
Laurencia majuscula,-17.04,,1,-17.04,-17.04,,,Laurencia,majuscula,,,,Rhodophyta,
Laurencia nipponica,-15.1,,1,-15.1,-15.1,,,Laurencia,nipponica,Laurencia niponica,Laurencia,niponica,Rhodophyta,
Laurencia obtusa,-15,,1,-15,-15,,,Laurencia,obtusa,,,,Rhodophyta,
Laurencia pacifica,-14.36,,1,-14.36,-14.36,,,Laurencia,pacifica,,,,Rhodophyta,
Lemanea mamillosa,-40.37,1.1863051884,6,-43.54,-36.7,2.9058423908,8.44392,Lemanea,mamillosa,,,,Rhodophyta,
Lenormandia marginata,-23.25,0.8527445886,6,-25.7,-20.58,2.0887891229,4.36304,Lenormandia,marginata,,,,Rhodophyta,
Liagora viscida,-8.53,,1,-8.53,-8.53,,,Liagora,viscida,,,,Rhodophyta,
Liagoropsis schrammi,-18,,1,-18,-18,,,Liagoropsis,schrammi,,,,Rhodophyta,
Lomentaria articulata,-29.32,0.8373917841,8,-31.87,-24.25,2.3685016361,5.6098,Lomentaria,articulata,,,,Rhodophyta,
Lomentaria catenata,-19.8,,1,-19.8,-19.8,,,Lomentaria,catenata,,,,Rhodophyta,
